pwsid,violation_id,facility_id,population_served_count,npm_candidate,pws_activity_code,pws_deactivation_date,primary_source_code,pop_cat_5_code,primacy_agency_code,epa_region,pws_type_code,violation_code,violation_category_code,is_health_based_ind,contaminant_code,compliance_status_code,viol_measure,unit_of_measure,state_mcl,is_major_viol_ind,severity_ind_cnt,compl_per_begin_date,compl_per_end_date,latest_enforcement_id,rtc_enforcement_id,rtc_date,public_notification_tier,originator_code,sample_result_id,corrective_action_id,rule_code,rule_group_code,rule_family_code
NJ0614004,282882,,375,N,I,2023-02-28 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1979-06-24 00:00:00,1982-06-23 00:00:00,282882.0,,2023-02-28 00:00:00,3,S,,,500,500,500
NJ0614004,282882,,375,N,N,2023-02-16 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1979-06-24 00:00:00,1982-06-23 00:00:00,282882.0,,2023-02-16 00:00:00,3,S,,,500,500,500
NJ0614004,788,,375,N,I,2023-02-28 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,,,,Y,,1985-06-01 00:00:00,1988-05-31 00:00:00,688.0,,2023-02-28 00:00:00,3,S,,,500,500,500
NJ0614004,788,,375,N,N,2023-02-16 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,,,,Y,,1985-06-01 00:00:00,1988-05-31 00:00:00,688.0,,2023-02-16 00:00:00,3,S,,,500,500,500
NJ1311001,1191,,125,N,I,2024-07-31 00:00:00,SWP,1,NJ,2,NTNCWS,3,MR,N,1030,I,,,,Y,,1990-06-01 00:00:00,1991-05-31 00:00:00,1391.0,,2024-07-31 00:00:00,3,S,,,500,500,500
NJ1311001,343382,,125,N,I,2024-07-31 00:00:00,SWP,1,NJ,2,NTNCWS,3,MR,N,1030,I,0.0,,0.0,Y,,1981-06-25 00:00:00,1982-06-24 00:00:00,342882.0,,2024-07-31 00:00:00,3,S,,,500,500,500
NJ1311001,349483,,125,N,I,2024-07-31 00:00:00,SWP,1,NJ,2,NTNCWS,3,MR,N,1030,I,0.0,,0.0,Y,,1982-06-25 00:00:00,1983-06-24 00:00:00,,,2024-07-31 00:00:00,3,S,,,500,500,500
NJ1311001,688,,125,N,I,2024-07-31 00:00:00,SWP,1,NJ,2,NTNCWS,3,MR,N,1030,I,,,,Y,,1987-06-01 00:00:00,1988-05-31 00:00:00,1288.0,,2024-07-31 00:00:00,3,S,,,500,500,500
NJ1414009,355982,,90,N,I,2016-11-22 00:00:00,GWP,1,NJ,2,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1979-06-24 00:00:00,1982-06-23 00:00:00,355182.0,,2016-11-22 00:00:00,3,S,,,500,500,500
NJ1414009,691,,90,N,I,2016-11-22 00:00:00,GWP,1,NJ,2,CWS,3,MR,N,1030,I,,,,Y,,1988-06-01 00:00:00,1991-05-31 00:00:00,2991.0,,2016-11-22 00:00:00,3,S,,,500,500,500
NJ1414014,491,,75,N,I,2022-05-09 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,,,,Y,,1988-06-01 00:00:00,1991-05-31 00:00:00,991.0,,2022-05-09 00:00:00,3,S,,,500,500,500
NJ1530007,488,,80,N,I,2018-11-26 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,,,,Y,,1985-06-01 00:00:00,1988-05-31 00:00:00,1388.0,,2018-11-26 00:00:00,3,S,,,500,500,500
NJ2116003,483582,,220,N,I,2019-12-31 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1979-06-24 00:00:00,1982-06-23 00:00:00,483082.0,,2019-12-31 00:00:00,3,S,,,500,500,500
NJ2116003,991,,220,N,I,2019-12-31 00:00:00,GW,1,NJ,2,CWS,3,MR,N,1030,I,,,,Y,,1988-06-01 00:00:00,1991-05-31 00:00:00,3691.0,,2019-12-31 00:00:00,3,S,,,500,500,500
